English Translation,Standard Bangla Lanuguage,Romanized Bangla,Chittagong Language,Romanized Chittagong Language,Sylhet Language,Romanized Sylhet Language
I am in a lot of trouble,অনেক কষ্টে আছি,Onek koshte achi,বেশি সমস্যার আছি,Beshi shomosshar asi,বাউট সমস্যায় আছি,Bauṭ shomosshay asi
I feel really helpless,আমি সত্যি খুব অসহায় বোধ করছি,Ami shotti khub oshohay bodh korchi,আই সত্যি খুব অসহায় বদ গরীর,Ai shotyi khub osohay bod gorir,আমি হাচাউ বাক্কা অসহায় বোধ কোরিয়ার,Ami hasau bakka oshohay bodh koriyar
I feel so helpless,আমি খুব অসহায় বোধ করছি,Ami khub oshohay bodh korchi,আই খুব অসহায় বদ গরীর,Ai khub osohay bod gorir,আমি বাক্কা অসহায় বোধ কোরিয়ার,Ami bakka oshohay bodh koriyar
I feel very helpless,খুব অসহায় বোধ করছি,Khub oshohay bodh korchi,খুব অসহায় বদ গরীর,Khub osohay bod gorir,বাক্কা অসহায় বোধ কোরিয়ার,Bakka oshohay bodh koriyar
I feel helpless,অসহায় বোধ করছি,Oshohay bodh korchi,অসহায় বদ গরীর,Osohay bod gorir,অসহায় বোধ কোরিয়ার,Oshohay bodh koriyar
I am really very helpless,আমি সত্যি খুব অসহায়,Ami shotti khub oshohay,আই সত্যি খুব অসহায় ,Ai shotyi khub osohay,আমি হাচাউ বাক্কা অসহায় ,Ami hasau bakka oshohay
What was the need to make the video?,ভিডিও বানানোর কি দরকার ছিল?,Video bananor ki dorkar chilo?,ভিডিও বানাইবার কি দরকার আছিল?,Video banaibar ki dorkar asil?,ভিডিও বনানীর কিতা দরকার আছিল?,Bideo bonanir kita dorkar asil?
What was the need to make?,বানানোর কি দরকার ছিল?,Bananor ki dorkar chilo?,বানাইবার কি দরকার আছিল?,Banaibar ki dorkar asil?,বনানীর কিতা দরকার আছিল?,Bonanir kita dorkar asil?
Call me,আমাকে ডাক,Amake daak,তোয়ারে আরে ডাহ,Toyare are dah,মোরে বোলা,More bola
He came to meet me from Sylhet,সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,Sylhet theke amar shathe dekha korte eshechilo,ইতে সিলেট্টুন আর ফোয়ারে দেহা গরীরটো আইসে ,Ite Silettun ar foare deha gorirto aisse,সিলেট থাকি আমার লগে দেখা করাত আইছিল,Sileṭ taki amar loge deka korat aisil
Came to meet me,আমার সাথে দেখা করতে এসেছিল,Amar shathe dekha korte eshechilo,আর ফোয়ারে দেহা গরীরটো আইসে ,Ar foare deha gorirto aisse,আমার লগে দেখা করাত আইছিল,Amar loge deka korat aisil
Came to meet,দেখা করতে এসেছিল,Dekha korte eshechilo,দেহা গরীরটো আইসে ,Deha gorirto aisse,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল,He Silet taki amar loge deka korat aisil
Came from Sylhet to Dhaka,সিলেট থেকে ঢাকায় এসেছে,Sylhet theke dhakay esheche,ফোয়াইবা সিলেট্টুন ধাহা আইসে ,Foaiba Silettun dhaha aisse,সিলেট থাকি ঢাকাত আইছে,Silet taki dakat aise
Do not touch,স্পর্শ করবেন না,Sporsho korben na,নঅ চুইয়ো,No suiyo,ছইবায় না ,Soibay na
I have become,হয়ে গিয়েছি,Hoye giyechi,অইগেই,Oigei,হই গেছি,Hoi gesi
Coming to the point,আসল কথায় আসা,Ashol kothay asha,অ়দর হত়াত আইয়ু ,Odor hotat aiyu,মূল কথাত আও,Mul kothat ao
I will not eat rice because I am angry,আমি ভাত খাবো না রাগ করছি ,Ami bhat khabo na raag korchi,অ্যাঁই ভাত ন হাইয়্যুম গুসসা ওইয়্যুম ,Añi bhat no haiyyum gussa oiyyum,আমি ভাত খাইতাম নায় ঘুষা করছি ,Ami bat khaitam nay gusha korsi
You will leave me,আপনি আমাকে ছেড়ে চলে যাবেন,Apni amake chere chole jaben,অনে অ্যাঁরে ছাড়ি চলি যাইবেন,One Añre sari soli zaiben,আফনে আমারে ছাড়িয়া চইলা যাবা,Afne amare sariya soila zaba
The marriage was many years ago.,বিয়ে হয় অনেক বছর আগে,Biye hoy onek bochor aage,বিয়া অয় বহুত বছর আগে,Bia oy bohut bosor age,বিয়া হইছিল বাক্কা বছর আগে,Biya hoisil bakka bosor age
There is no reason for going.,যাওয়ার কথা নেই,Jawar kotha nei,যনঅর হথা নাই,Zonor hotha nai,যাওনারে মাথ নাই,Zaunare math nai
I'll think and do something.,চিন্তা করছি কিছু একটা করবো,Chinta korchi kichu ekta korbo,চিন্তা গইজ্জি  কিসু উজ্ঞো গইজ্জুম,Chinta goijji kisu uggo goijjum,চিন্তা করতাছি কিচ্ছু একটা করমু,Sinta kortasi kissu ekta kormu
It will be good for you,সেটি ভাল হবে তোর জন্য,Seti bhalo hobe tor jonno,ইয়ান গম অইব্যু তুঁর লাই,Ian gom oibbyu tuñr lai,ইটা ভালা অইবো তল্লাইজ্ঞা,Ita bala oibo tollaigga
It's time to come home,বাড়িতে আসার সময় হয়ে গেছে,Barite ashar shomoy hoye geche,বাড়িত আইসসিল সমত অই গেইয়্যে,Barit aissil homot oi geiyye,বাইত আওনের সময় হই গেছে,Bait aunor shomoy hoi gese
He stopped eating and said,সে খাওয়া থেমে বলল,Se khawa theme bollo,ইতে হাওন থেমে হইলো,Ite haon theme hoilo,সে খাওন থামাইয়া কইলো,She khaon thamaiya koilo
Went to eat,খাবার খেতে গেল,Khabar khete gelo,হানা হাইতে গিল,Hana haite gil,খাওন খাইতে গেছিল,Khaon khaite gesil
He concentrates on feeding without talking,কথা না বলে খাওয়াতে মনযোগ দেয়,Kotha na bole khawate monojog dey,হথা ন কইয়্যরে হাবাইত মনযোগ দে,Hotha no koiyyore habait monojug de,মাথ না মাতিয়া খাওনও মন দে,Math na matiya khaono mon de
"After finishing eating, he went towards her.",খাওয়া শেষ করে তখন তার দিকে গেল,Khawa shesh kore tokhon tar dike gelo,হাওন শেষ গরে তহন ইতার মিক্কে গিল,Haon shesh gore tohon itar mikke gil,খাওয়ন শেষ কইরা তার দিক্কা গেল,Khaoyon shesh koira tar dikka gelo
His eyes were drawn upon seeing it.,দেখে চোখ গেল,Dekhe chokh gelo,চ্যাঁই চুখ গিল,Chñai chukh gil,দেইক্ষা ছোক গেছিল,Deikha sok gesil
It might be something beautiful.,সুন্দর কিছু হতে পারে,Shundor kichu hote pare,সুন্দর কিসু অইত ফারে,Shundor kisu oit fare,হুন্দর কিচ্ছু হইতা পারে,Hundor kissu hoita fare
My younger brother has gotten married.,বিয়ে করেছে আমার ছোট ভাই,Biye koreche amar choto bhai,বিয়া গইজ্জে অ্যাঁর ছোড বদ্দা,Bia goijje Anr sod bodda,আমার ছোডভাই বিয়া করি লাইসে,Amar soḍobai biya kori laise
I can’t come up with any ideas.,মাথায় বুদ্ধি হয় না,Mathay buddhi hoy na,মাতাত বুদ্ধি ন অয়,Matat buddhi no oy,মাথাত ঘিলু নাই,Mathat gilu nai
Stopped laying eggs.,ডিম দেওয়া বন্ধ করে দেয়,Dim dewa bondho kore dey,দিম দিবে বন্ধ গরে দে,Dim dibe bondho gore de,ডিম দেওয়ন বন্ধ করি লইছে,Ḍim deon bondo kori loise
Everyone has been informed.,সবাইকে বলা হয়েছে,Shobaike bola hoyeche,বিয়াগুনোরে হোওয়া গেইয়্যে,Biagunore howa geiyye,হগলরে কইছি,Hogolre koisi
It has been said.,বলা হয়েছে,Bola hoyeche,হোওয়া গেইয়্যে,Howa geiyye,কইছি,Koisi
You need to do this.,আপনার এটা করা লাগবে,Apnar eta kora lagbe,অনত্তুন ইয়েন গরন ফরিবু ,Onottun ien goron foribu,আমার ইতা করন লাগব,Amar ita koron lagbo
It needs to be done.,করা লাগবে,Kora lagbe,গরন ফরিবু,Goron foribu,করন লাগব,Koron lagbo
I will come,চলে আসবি,Chole ashbi,আই যাবিগ়ই,Ai zabigoi,আইয়ুস,Aiyus
"I told him, don't do this.","আমি তাকে বললাম, এটা করোনা","Ami take bollam, eta korona","আঁই ইতারে হইলামদে, ইয়েন নগইজ্জু","Añi itare hoinamde, ien nogoijju",আমি তারে কইলাম ইতা কইরো না,Ami tare koilam ita koiro na
I told him.,আমি তাকে বললাম,Ami take bollam,আঁই ইতারে হইলামদে,Añi itare hoinamde,আমি তারে কইলাম ,Ami tare koilam
Don't do this.,এটা করোনা,Eta korona,ইয়েন নগইজ্জু,Ien nogoijju,ওটা করিও না ,Oṭa koriyo na
What was the need?,কি দরকার ছিল?,Ki dorkar chilo?,কি দরকার আছিল?,Ki dorkar asil?,কিতা দরকার আছিল?,Kita dorkar asil?
Was there a need?,দরকার ছিল?,Dorkar chilo?,দরকার আছিল?,Dorkar asil?,দরকার আছিল?,Dorkar asil?
What’s the need to make it?,বানানোর কি দরকার,Bananor ki dorkar,বানাইবার কি দরকার ?,Banaibar ki dorkar?,বনানীর কিতা দরকার ?,Bonanir kita dorkar?
Why is he just sitting there doing this?,এমন করতেছে কেন বসে বসে?,Emon kortese keno boshe boshe?,এরিমামা কিলায়ও গরের দ্দে বইয়ের,Erimama kilayo gorer dde boiyer,ইতা করের কিতার লাগি বিয়া বইয়া?,Ita korer kitar lagi biya boiya?
Why are you just sitting there?,কেন বসে বসে?,Keno boshe boshe?,কিলায়ও দ্দে বইয়ের,Kilayo dde boiyer,কিতার লাগি বিয়া বইয়া?,Kitar lagi biya boiya?
Doing this like that.,এমন করতেছে,Emon kortese,এরিমামা কিলায়ও,Erimama kilayo,ইতা করের ,Ita korer
How is this possible?,এ কি করে সম্ভব?,E ki kore shombhob?,ইবা কেরিম্মা গড়ি সম্ভব,Iba kerimma gori shombhob,ইগু কিলা ওই ,Igu kila oi
How is it possible?,কি করে সম্ভব?,Ki kore shombhob?,ইবা কেরিম্মা গড়ি সম্ভব,Iba kerimma gori shombhob,ইগু কিলা ওই ,Igu kila oi
Why do you sleep so much?,তুমি এত ঘুমাও কেন?,Tumi eto ghumao keno?,তুই সুদানীর ফুয়া এত ঘুমোদ্দে কিল্লায় ,Tui sudanir fua eto ghumodde killay,তুমিতাইন ওর অত ঘুম আয় কিওর লাগি,Tumitain or oto gum ay kiyor lagi
Why do you sleep?,তুমি ঘুমাও কেন?,Tumi ghumao keno?,তুই সুদানীর ফুয়া ঘুমোদ্দে কিল্লায় ,Tui sudanir fua ghumodde killay,তুমিতাইন ওর ঘুম আয় কিওর লাগি,Tumitain or gum ay kiyor lagi
Why are you sleeping?,ঘুমাও কেন?,Ghumao keno?,ঘুমোদ্দে কিল্লায় ,Ghumodde killay,ঘুম আয় কিওর লাগি,Gum ay kiyor lagi
Why do you sleep so much?,এত ঘুমাও কেন?,Eto ghumao keno?,এত ঘুমোদ্দে ,Eto ghumodde,অত ঘুম আয় কিওর লাগি,Oto gum ay kiyor lagi
You sleep.,তুমি ঘুমাও,Tumi ghumao,তুই ঘুমোদ্দে,Tui ghumodde,তুমিতাইন ঘুম আয় ,Tumitain gum ay
Don’t you have any work?,তোমার কাজ নেই?,Tomar kaaj nei?,তোঁয়ার কাম নাই?,Toar kam nai?,তোমার কাজ-খাম নাই ,Tomar kaz-kham nai
Is the statement correct?,কথা ঠিক আছে ?,Kotha thik ache?,হথা ঠিক আছে?,Hotha thik ase?,মাথ ঠিক আছেনি,Math ṭhik aseni
I’ll pull your ear and make it red.,কান টান লাল করে ফেলবো আমি তোর,Kaan taan laal kore felbo ami tor,হান টান লাল গরি ফেলাইয়্যুম অ্যাঁই তুঁর,Han tan lal gori felaiyyum Añi tuñr,কান লাল করিয়া পালাইমু তর ,Kan lal koriya falaimu tor
I am in pain.,আমি কষ্টে আছি,Ami koshte achi,আই সমস্যার আছি,Ai shomosshar asi,আমি সমস্যায় আছি,Ami shomosshay asi
I’m in pain.,কষ্টে আছি,Koshte achi,সমস্যার আছি,Shomosshar asi,সমস্যায় আছি,Shomosshay asi
I have something urgent to discuss with you., তোমার সাথে আমার জরুরি কথা আছে,Tomar shathe amar joruri kotha ache,তুয়ার লয় আর জরুরি হতা আছে,Tuar loy ar joruri hota ase,তুমিতাইন ওর লগে আমার জরুরি মাত আছে,Tumitain or loge amar zoruri mat ase
I have something to discuss with you., তোমার সাথে আমার কথা আছে,Tomar shathe amar kotha ache,তুয়ার লয় আর হতা আছে,Tuar loy ar hota ase,তুমিতাইন ওর লগে আমার মাত আছে,Tumitain or loge amar mat ase
I have something urgent to say.,আমার জরুরি কথা আছে,Amar joruri kotha ache,আর জরুরি হতা আছে,Ar joruri hota ase,আমার জরুরি মাত আছে,Amar zoruri mat ase
There’s something urgent.,জরুরি কথা আছে,Joruri kotha ache,জরুরি হতা আছে,Joruri hota ase,জরুরি মাত আছে,Zoruri mat ase
I have something to say.,কথা আছে,Kotha ache,হতা আছে,Hota ase,মাত আছে,Mat ase
I have a habit of drinking tea right after waking up in the morning.,আমার সকালে উঠেই চা খাওয়ার অভ্যাস,Amar shokale uthei cha khawar obbhash, আর সকালোট উঠিয়েরে চা খাইবার অভ্যাস আছে,Ar sokalot uthiyere sa haibar obbhash ase,আমার সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,Amar sokailku uṭhaiya sa khaoway obbhash
The habit of drinking tea right after waking up in the morning.,সকালে উঠেই চা খাওয়ার অভ্যাস,Shokale uthei cha khawar obbhash,সকালোট উঠিয়েরে চা খাইবার অভ্যাস আছে,Sokalot uthiyere sa haibar obbhash ase,সোকাইলকু উঠাইয়া চা খাওয়ায় অভ্যাস,Sokailku uṭhaiya sa khaoway obbhash
The habit of drinking tea.,চা খাওয়ার অভ্যাস,Cha khawar obbhash,চা খাইবার অভ্যাস আছে,Sa haibar obbhash ase,চা খাওয়ায় অভ্যাস,Sa khaoway obbhash
What did you eat for lunch?,তুমি দুপুরে কি খেয়েছ?,Tumi dupure ki kheyecho?,তুই দুইজ্জা হায়ও নে?,Tui duijja hayo ne?,তুমিতাইন দুপুরবেলাত কিতা খাইলায়?,Tumitain dupurbelat kita khailay?
What did you eat for lunch?,দুপুরে কি খেয়েছ?,Dupure ki kheyecho?,দুইজ্জা হায়ও নে?,Duijja hayo ne?,দুপুরবেলাত কিতা খাইলায়?,Dupurbelat kita khailay?
Will you go out at night?,তুমি কি রাতের বেলা বাইরে বের হবে?,Tumi ki rater bela baire ber hobe?,তুই কি রতিয়াত বাইর হইবা নে?,Tui ki rotiyat bair hoiba ne?,তুমিতাইন কিতা রাত্রে বারইবায় নি?,Tumitain kita ratre baroibay ni?
Will you go out at night?,রাতের বেলা বাইরে বের হবে?,Rater bela baire ber hobe?,রতিয়াত বাইর হইবা নে?,Rotiyat bair hoiba ne?,রাত্রে বারইবায় নি?,Ratre baroibay ni?
Will you go out?,বাইরে বের হবে?,Baire ber hobe?,বাইর হইবা নে?,Bair hoiba ne?,বারইবায় নি?,Baroibay ni?
Will you go out?,তুমি কি বাইরে বের হবে?,Tumi ki baire ber hobe?,তুই কি বাইর হইবা নে?,Tui ki bair hoiba ne?,তুমিতাইন কিতা বারইবায় নি?,Tumitain kita baroibay ni?
Go out?,বের হবে?,Ber hobe?,হইবা নে?,Hoiba ne?,ইবায় নি?,Ibay ni?
I really enjoy talking to you.,আপনার সাথে কথা বলতে আমার অনেক ভালো লাগে,Apnar shathe kotha bolte amar onek bhalo lage,অনড় লই হোথা খৈত বেশি গম লাগে,Onor loi hotha hoite beshi gom lage,আফনার লগে মাত্তে বাক্কা ভালা লাগে আমার,Afnar loge matte bakka bala lage amar
I really enjoy talking.,কথা বলতে আমার অনেক ভালো লাগে,Kotha bolte amar onek bhalo lage,হোথা খৈত বেশি গম লাগে,Hotha hoite beshi gom lage,মাত্তে বাক্কা ভালা লাগে আমার,Matte bakka bala lage amar
I really enjoy it.,আমার অনেক ভালো লাগে,Amar onek bhalo lage,বেশি গম লাগে,Beshi gom lage,ভালা লাগে আমার,Bala lage amar
Can you do the coloring?,রঙ করতে পারবি নাকি রে,Rong korte parbi naki re,রঙ গরিত ফারিবি নি রে,Rong gorit faribi ni re,রং করাইতে পারবে নি রে ,Rong koraite parbe ni re
How did I work?,কাজ করতাম কিভাবে?,Kaaj kortam kibhabe?, কাম গইত্তাম কেনে?,Kam goittam kene?,কাজ করতাম কিলাখান ,Kaz kortam kilakhan
I am in a lot of pain.,আমি অনেক কষ্টে আছি,Ami onek koshte achi,আই বেশি সমস্যার আছি,Ai beshi shomosshar asi,আমি বাউট সমস্যায় আছি,Ami bauṭ shomosshay asi
I enjoy talking.,কথা বলতে ভালো লাগে,Kotha bolte bhalo lage,হোথা খৈত গম লাগে,Hotha hoite gom lage,মাত্তে বাক্কা ভালা লাগে,Matte bakka bala lage
I like the conversation.,কথা ভালো লাগে,Kotha bhalo lage,হোথা গম লাগে,Hotha gom lage,বাক্কা ভালা লাগে,Bakka bala lage
Talking with you.,আপনার সাথে কথা,Apnar shathe kotha,অনড় লই হোথা ,Onor loi hotha,আফনার লগে মাত্তে বাক্কা ,Afnar loge matte bakka
Will you play with my daughter?,খেলবি নাকি আমার মেয়ের সাথে,Khelbi naki amar meyer shathe,হেলবি নি অ্যাঁর মাইয়্যার লগে,Helbi ni Añr maiyyar loge,খেলবে নি আমার পুড়ির লগে ,Khelbe ni amar fuṛir loge
I like you now.,আমার এখন তোমাকে ভাল লাগে,Amar ekhon tomake bhalo lage,অ্যাঁর এহন তোঁয়ারে গম লার,Añr ehon toare gom lar,আমার ওখন তোমারে ভালা লাগে ,Amar okhon tomare bala lage
Do you understand what I’m saying?,আমার কথা বুঝিস তুই?,Amar kotha bujhis tui?,অ্যাঁর হথা বুঝস তুঁই?,Añr hotha bujhos tui?,আমরার মাত বুঝরে তুই ,Amrar mat buzre tui
I swear I have a fever.,কসম আমার গায়ে জ্বর,Kosom amar gaye jor,হচম অ্যাঁর গাত জ্বর,Hosom Añr gat jor,হাছারে বা আমার গাও জ্বর,Hasare ba amar gao zor
We will deal with you.,তোমাকে আমরা দেখে নেবো,Tomake amra dekhe nebo,তোঁয়ারে অ্যাঁরা চ্যাঁই লইইয়্যুম,Toare Añra chñai loiyyum,তোমরারে আমরা দেইখা নিমু ,Tomrare amra deikha nimu
What did you eat with rice for lunch?,তুমি দুপুরে কি দিয়ে ভাত খেয়েছ?,Tumi dupure ki diye bhat kheyecho?,তুই দুইজ্জা ভাত হায়ও নে?,Tui duijja bhat hayo ne?,তুমিতাইন দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,Tumitain dupurbelat kita diya bat khailay?
What did you eat with rice for lunch?,দুপুরে কি দিয়ে ভাত খেয়েছ?,Dupure ki diye bhat kheyecho?,দুইজ্জা ভাত হায়ও নে?,Duijja bhat hayo ne?,দুপুরবেলাত কিতা দিয়া ভাত খাইলায়?,Dupurbelat kita diya bat khailay?
What did you eat for lunch?,দুপুরে কি খেয়েছ?,Dupure ki kheyecho?,দুইজ্জা হায়ও নে?,Duijja hayo ne?,দুপুরবেলাত কিতা খাইলায়?,Dupurbelat kita khailay?
With what did you have rice?,কি দিয়ে ভাত,Ki diye bhat,ভাত হায়ও নে?,Bhat hayo ne?,কিতা দিয়া ভাত ?,Kita diya bat?
The closest person.,সব থেকে কাছের মানুষ,Shob theke kacher manush,বেগুনের হাছে মানুষ হননা?,Beguner hase manush honna?,সব তাকি কাছ ওর মানুষ,Shob taki kas or manush
Like it a lot.,অনেক ভালো লাগে,Onek bhalo lage,বেশি গম লাগে,Beshi gom lage,বাক্কা ভালা লাগে,Bakka bala lage
Like it.,ভালো লাগে,Bhalo lage,গম লাগে,Gom lage,ভালা লাগে,Bala lage
I really enjoy talking.,কথা বলতে অনেক ভালো লাগে,Kotha bolte onek bhalo lage,হোথা খৈত বেশি গম লাগে,Hotha hoite beshi gom lage,মাত্তে বাক্কা ভালা লাগে ,Matte bakka bala lage
I won’t call you.,আমি তোমাকে ডাকব না,Ami tomake dakbo na,তোয়ারে আই কল নো দিয়ুম ,Toyare ai kol no diyum,আমি তুমারে চাল্ল দিতাম নায়,Ami tumare sallo ditam nay
I won’t call you.,তোমাকে ডাকব না,Tomake dakbo na,কল নো দিয়ুম ,Kol no diyum,তুমারে চাল্ল দিতাম নায়,Tumare sallo ditam nay
I will call you.,আমি তোমাকে ডাকব,Ami tomake dakbo,তোয়ারে আই কল দিয়ুম ,Toyare ai kol diyum,আমি তুমারে চাল্ল দিতাম ,Ami tumare sallo ditam
I will call you.,তোমাকে ডাকব,Tomake dakbo,কল দিয়ুম,Kol diyum,তুমারে চাল্ল দিতাম ,Tumare sallo ditam
Won’t call.,ডাকব না,Dakbo na,কল নো দিয়ুম ,Kol no diyum,চাল্ল নায়,Sallo nay
